ID lead;fonte do lead;status atual;scoring;engagement score;data de criação;data de conversão
660728;Orgânico;Apresentação;120;0;31/07/2016 17:00;31/07/2016 17:02
660681;Google;Qualificado;80;10;31/07/2016 15:54;01/08/2016 04:58
660673;Google;Qualificado;80;10;31/07/2016 15:40;31/07/2016 15:40
660616;Google;Apresentação;145;0;31/07/2016 14:44;31/07/2016 14:47
660608;Orgânico;Qualificado;150;80;31/07/2016 14:40;31/07/2016 14:41
660562;Orgânico;Qualificado;170;120;31/07/2016 13:47;31/07/2016 13:48
660558;Orgânico;Apresentação;300;0;31/07/2016 13:45;31/07/2016 13:53
660547;Orgânico;Qualificado;140;90;31/07/2016 13:32;31/07/2016 13:52
660522;Google;Qualificado;165;60;31/07/2016 13:03;03/08/2016 10:33
660509;Orgânico;Amostras;115;0;31/07/2016 12:52;31/07/2016 12:55
660479;Google;Amostras;60;0;31/07/2016 12:26;31/07/2016 12:26
660478;Google;Amostras;90;0;31/07/2016 12:25;31/07/2016 15:16
660471;Google;Qualificado;70;0;31/07/2016 12:20;31/07/2016 12:20
660461;Google;Apresentação;160;0;31/07/2016 12:09;31/07/2016 12:09
660458;Google;Qualificado;205;110;31/07/2016 12:08;31/07/2016 12:09
660447;Google;Qualificado;75;10;31/07/2016 11:59;31/07/2016 12:04
660432;Orgânico;Qualificado;140;70;31/07/2016 11:46;31/07/2016 12:22
660424;Google;Qualificado;125;60;31/07/2016 11:31;31/07/2016 11:36
660410;Google;Qualificado;80;30;31/07/2016 11:16;31/07/2016 11:17
660374;Google;Amostras;80;0;31/07/2016 10:33;31/07/2016 11:01
660339;Orgânico;Não contatado;115;0;31/07/2016 09:55;06/08/2016 06:30
660333;Orgânico;Qualificado;100;30;31/07/2016 09:51;31/07/2016 11:17
660312;Google;Apresentação;165;0;31/07/2016 09:25;31/07/2016 09:30
660267;Google;Qualificado;115;50;31/07/2016 08:29;31/07/2016 08:39
660255;Google;Apresentação;95;0;31/07/2016 08:16;31/07/2016 08:22
660236;Google;Qualificado;85;20;31/07/2016 07:54;31/07/2016 07:56
660222;Orgânico;Apresentação;87;0;31/07/2016 07:33;31/07/2016 07:36
660215;Google;Apresentação;155;0;31/07/2016 07:30;31/07/2016 07:39
660203;Google;Apresentação;190;0;31/07/2016 07:15;31/07/2016 07:23
660180;Google;Apresentação;175;0;31/07/2016 06:45;31/07/2016 07:14
660149;Google;Não Elegível;110;0;31/07/2016 06:17;31/07/2016 06:18
660070;Google;Lead Ruim;95;0;31/07/2016 04:28;31/07/2016 04:30
660069;Orgânico;Apresentação;150;0;31/07/2016 04:26;31/07/2016 05:19
660050;Google;Lead Ruim;100;0;31/07/2016 03:52;03/08/2016 07:34
660048;Orgânico;Apresentação;150;0;31/07/2016 03:43;04/08/2016 03:56
660030;Orgânico;Apresentação;60;0;31/07/2016 02:42;31/07/2016 02:44
659942;Orgânico;Amostras;230;0;30/07/2016 18:27;31/07/2016 05:29
659931;Google;Amostras;85;0;30/07/2016 18:10;30/07/2016 18:17
659918;Orgânico;Qualificado;120;70;30/07/2016 17:51;30/07/2016 18:09
659875;Google;Qualificado;70;0;30/07/2016 16:40;30/07/2016 16:41
659853;Google;Qualificado;90;30;30/07/2016 16:10;30/07/2016 16:13
659784;Orgânico;Apresentação;110;0;30/07/2016 14:55;30/07/2016 15:04
659727;Google;Qualificado;210;100;30/07/2016 13:58;30/07/2016 14:09
659710;Indicação;Qualificado;0;0;30/07/2016 13:40;
659708;Google;Apresentação;70;0;30/07/2016 13:32;30/07/2016 13:34
659696;Google;Qualificado;80;20;30/07/2016 13:15;30/07/2016 13:17
659631;Indicação;Fechado;0;0;30/07/2016 12:14;
659630;Orgânico;Amostras;80;0;30/07/2016 12:14;30/07/2016 12:18
659614;Orgânico;Amostras;80;0;30/07/2016 11:55;30/07/2016 11:59
659600;Google;Apresentação;90;0;30/07/2016 11:37;30/07/2016 11:40
659582;Google;Apresentação;170;0;30/07/2016 11:23;30/07/2016 11:37
659555;Google;Não Elegível;65;0;30/07/2016 11:01;30/07/2016 11:01
659523;Google;Qualificado;90;40;30/07/2016 10:40;30/07/2016 10:45
659474;Google;Apresentação;285;0;30/07/2016 09:56;30/07/2016 10:04
659463;Google;Qualificado;100;50;30/07/2016 09:45;30/07/2016 10:06
659447;Orgânico;Apresentação;120;0;30/07/2016 09:32;30/07/2016 09:34
659438;Google;Amostras;140;0;30/07/2016 09:26;30/07/2016 09:32
659437;Google;Qualificado;70;20;30/07/2016 09:26;30/07/2016 09:53
659411;Google;Apresentação;105;0;30/07/2016 09:03;30/07/2016 09:07
659407;Orgânico;Amostras;80;0;30/07/2016 09:01;30/07/2016 09:12
659395;Orgânico;Qualificado;180;110;30/07/2016 08:53;30/07/2016 09:01
659371;Google;Qualificado;175;110;30/07/2016 08:28;30/07/2016 08:30
659369;Indicação;Fechado;85;0;30/07/2016 08:27;
659364;Google;Qualificado;110;60;30/07/2016 08:22;30/07/2016 08:47
659357;Google;Apresentação;120;0;30/07/2016 08:18;30/07/2016 08:24
659345;Orgânico;Apresentação;100;0;30/07/2016 08:09;30/07/2016 09:12
659334;Google;Lead Ruim;80;0;30/07/2016 07:58;30/07/2016 08:08
659287;Orgânico;Apresentação;80;0;30/07/2016 07:27;30/07/2016 07:34
659283;Indicação;Fechado;0;0;30/07/2016 07:23;
659281;Google;Apresentação;165;0;30/07/2016 07:23;30/07/2016 07:39
659263;Orgânico;Qualificado;70;20;30/07/2016 07:14;30/07/2016 08:02
659248;Google;Lead Ruim;70;0;30/07/2016 07:00;30/07/2016 08:20
659244;Google;Apresentação;100;0;30/07/2016 06:57;30/07/2016 07:06
659221;Orgânico;Apresentação;100;0;30/07/2016 06:35;30/07/2016 06:37
659217;Google;Apresentação;75;0;30/07/2016 06:33;30/07/2016 06:36
659203;Google;Qualificado;60;10;30/07/2016 06:22;30/07/2016 06:56
659191;Indicação;Fechado;10;0;30/07/2016 06:13;
659182;Google;Amostras;60;0;30/07/2016 06:08;30/07/2016 06:13
659170;Google;Amostras;60;0;30/07/2016 05:55;30/07/2016 06:12
659158;Indicação;Fechado;0;0;30/07/2016 05:49;
659146;Google;Qualificado;155;40;30/07/2016 05:41;30/07/2016 05:43
659141;Indicação;Fechado;20;0;30/07/2016 05:36;
659138;Google;Lead Ruim;40;0;30/07/2016 05:35;30/07/2016 05:40
659123;Google;Amostras;110;0;30/07/2016 05:20;30/07/2016 05:22
659106;Google;Qualificado;135;70;30/07/2016 05:06;30/07/2016 05:12
659094;google;Apresentação;170;0;30/07/2016 04:50;30/07/2016 04:50
659079;Google;Apresentação;70;0;30/07/2016 04:28;30/07/2016 04:34
659076;Google;Apresentação;70;0;30/07/2016 04:23;30/07/2016 04:30
659069;Google;Apresentação;120;0;30/07/2016 04:13;30/07/2016 04:13
659057;Google;Amostras;105;0;30/07/2016 03:50;04/08/2016 04:05
659038;Orgânico;Qualificado;110;40;30/07/2016 03:00;30/07/2016 03:01
658983;Orgânico;Qualificado;245;150;29/07/2016 19:41;29/07/2016 19:45
658976;Google;Apresentação;70;0;29/07/2016 19:25;29/07/2016 19:25
658856;Orgânico;Apresentação;140;0;29/07/2016 16:10;01/08/2016 08:48
658793;Google;Qualificado;245;80;29/07/2016 14:59;29/07/2016 15:10
658779;Orgânico;Amostras;185;0;29/07/2016 14:47;29/07/2016 14:49
658773;Orgânico;Apresentação;60;0;29/07/2016 14:43;29/07/2016 14:49
658766;Google;Apresentação;90;0;29/07/2016 14:34;29/07/2016 14:36
658689;Google;Apresentação;95;0;29/07/2016 13:05;29/07/2016 13:08
658686;Orgânico;Amostras;130;0;29/07/2016 13:00;29/07/2016 13:01
658677;Google;Amostras;115;0;29/07/2016 12:54;29/07/2016 13:05
658675;Indicação;Qualificado;10;10;29/07/2016 12:53;
658656;Google;Apresentação;50;0;29/07/2016 12:33;29/07/2016 12:58
658634;Indicação;Qualificado;55;30;29/07/2016 12:09;
658612;Google;Amostras;60;0;29/07/2016 11:52;29/07/2016 12:07
658606;Google;Perdido;70;0;29/07/2016 11:48;29/07/2016 12:01
658597;Orgânico;Amostras;90;0;29/07/2016 11:43;29/07/2016 11:45
658571;Orgânico;Qualificado;285;110;29/07/2016 11:22;30/07/2016 12:49
658561;Indicação;Fechado;10;0;29/07/2016 11:12;
658546;Orgânico;Qualificado;265;170;29/07/2016 11:04;30/07/2016 09:56
658531;Orgânico;Qualificado;110;60;29/07/2016 10:53;29/07/2016 11:09
658481;Google;Apresentação;170;0;29/07/2016 10:10;29/07/2016 10:58
658458;Google;Apresentação;120;0;29/07/2016 09:59;29/07/2016 10:02
658448;Google;Apresentação;85;0;29/07/2016 09:51;29/07/2016 09:57
658432;Indicação;Qualificado;15;0;29/07/2016 09:34;
658430;Orgânico;Apresentação;90;0;29/07/2016 09:31;29/07/2016 09:37
658421;Google;Apresentação;80;0;29/07/2016 09:17;29/07/2016 09:57
658398;Orgânico;Qualificado;100;50;29/07/2016 08:59;29/07/2016 09:24
658353;Orgânico;Apresentação;120;0;29/07/2016 08:10;29/07/2016 08:31
658309;Indicação;Qualificado;10;10;29/07/2016 07:20;
658288;Orgânico;Apresentação;100;0;29/07/2016 07:03;29/07/2016 07:10
658258;Indicação;Qualificado;0;0;29/07/2016 06:27;
658243;Indicação;Qualificado;10;10;29/07/2016 06:08;
658234;Google;Apresentação;90;0;29/07/2016 06:00;29/07/2016 06:01
