index;venda chave;data venda;data chave;estado;regiao;cliente;segmento;cliente chave;id produto;produto ;preco;custo;desconto;quantidade;total venda
1;2022-152156;11/09/2022;20221109;PA;Nordeste;12. Terra & Fogo;Restaurante;1017;Q-G1;Quiche G1; 23,07 ; 15,46 ;0%;400; 4.673,52 
2;2022-152156;11/09/2022;20221109;PA;Nordeste;12. Terra & Fogo;Restaurante;1017;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;800; 3.833,41 
3;2022-138688;6/13/2022;20220613;BA;Nordeste;81. Bistrô das Trilhas;Café & Bistrô;1056;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;500; 2.395,88 
4;2021-108966;10/11/2021;20211011;CE;Nordeste;2. Fábrica de Sonhos Doces;Indústria;1031;Q-P2;Quiche P2; 4,79 ; 3,21 ;5%;200; 2.336,76 
5;2021-108966;10/11/2021;20211011;CE;Nordeste;2. Fábrica de Sonhos Doces;Indústria;1031;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;1300; 6.229,29 
6;2020-115812;06/09/2020;20200609;BA;Nordeste;4. Indústria do Sabor;Indústria;1065;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;400; 1.916,70 
7;2020-115812;06/09/2020;20200609;BA;Nordeste;4. Indústria do Sabor;Indústria;1065;P-P;Panetone P; 8,03 ; 5,38 ;0%;600; 7.010,29 
8;2020-115812;06/09/2020;20200609;BA;Nordeste;4. Indústria do Sabor;Indústria;1065;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;700; 16.149,77 
9;2020-115812;06/09/2020;20200609;BA;Nordeste;4. Indústria do Sabor;Indústria;1065;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;500; 2.395,88 
10;2020-115812;06/09/2020;20200609;BA;Nordeste;4. Indústria do Sabor;Indústria;1065;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;0%;400; 1.916,70 
11;2020-115812;06/09/2020;20200609;BA;Nordeste;4. Indústria do Sabor;Indústria;1065;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;600; 2.875,05 
12;2020-115812;06/09/2020;20200609;BA;Nordeste;4. Indústria do Sabor;Indústria;1065;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;800; 6.459,38 
13;2023-114412;4/16/2023;20230416;RS;Sul;62. Café do Sol Nascente;Café & Bistrô;1062;Q-M;Quiche M; 11,68 ; 7,82 ;2%;700; 8.173,26 
14;2022-161389;12/06/2022;20221206;BA;Nordeste;96. Café do Vento Norte;Eventos;1066;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;500; 2.395,88 
15;2021-118983;11/22/2021;20211122;PE;Nordeste;10. La Dolce Vita;Restaurante;1074;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;8%;700; 3.354,23 
16;2021-118983;11/22/2021;20211122;PE;Nordeste;10. La Dolce Vita;Restaurante;1074;Q-P2;Quiche P2; 4,79 ; 3,21 ;8%;700; 3.354,23 
17;2020-105893;11/11/2020;20201111;SP;Sudeste;25. Gourmet & Cia;Restaurante;1087;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;300; 3.505,14 
18;2020-167164;5/13/2020;20200513;PR;Sul;80. Café do Caminho;Café & Bistrô;1047;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;700; 8.178,67 
19;2020-143336;8/27/2020;20200827;BA;Nordeste;27. Sabores do Mediterrâneo;Restaurante;1099;P-P;Panetone P; 8,03 ; 5,38 ;0%;600; 2.875,05 
20;2020-143336;8/27/2020;20200827;BA;Nordeste;27. Sabores do Mediterrâneo;Restaurante;1099;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;300; 3.502,83 
21;2020-143336;8/27/2020;20200827;BA;Nordeste;27. Sabores do Mediterrâneo;Restaurante;1099;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;800; 3.833,41 
22;2022-137330;12/10/2022;20221210;GO;Centro-Oeste;42. Bistrô das Estações;Café & Bistrô;1048;P-P;Panetone P; 8,03 ; 5,38 ;0%;700; 3.354,23 
23;2022-137330;12/10/2022;20221210;GO;Centro-Oeste;42. Bistrô das Estações;Café & Bistrô;1048;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;0%;600; 2.875,05 
24;2023-156909;7/17/2023;20230717;CE;Nordeste;69. Bistrô das Marés;Café & Bistrô;1025;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;3%;500; 5.841,90 
25;2021-106320;9/25/2021;20210925;PR;Sul;75. Bistrô das Dunas;Café & Bistrô;1063;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;700; 3.354,23 
26;2022-121755;1/16/2022;20220116;BA;Nordeste;14. Sabores do Mundo;Restaurante;1043;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;200; 2.336,76 
27;2022-121755;1/16/2022;20220116;BA;Nordeste;14. Sabores do Mundo;Restaurante;1043;M-P;Mel P; 4,02 ; 2,70 ;0%;700; 3.354,23 
28;2021-150630;9/17/2021;20210917;CE;Nordeste;73. Bistrô das Colinas;Café & Bistrô;1051;Q-G1;Quiche G1; 23,07 ; 15,46 ;5%;400; 1.916,70 
29;2021-150630;9/17/2021;20210917;CE;Nordeste;73. Bistrô das Colinas;Café & Bistrô;1051;Q-P2;Quiche P2; 4,79 ; 3,21 ;7%;500; 2.395,88 
30;2021-150630;9/17/2021;20210917;CE;Nordeste;73. Bistrô das Colinas;Café & Bistrô;1051;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;2%;700; 3.354,23 
31;2021-150630;9/17/2021;20210917;CE;Nordeste;73. Bistrô das Colinas;Café & Bistrô;1051;G-G1;Galupe G1; 12,26 ; 8,22 ;2%;400; 1.916,70 
32;2021-150630;9/17/2021;20210917;CE;Nordeste;73. Bistrô das Colinas;Café & Bistrô;1051;P-P;Panetone P; 8,03 ; 5,38 ;2%;800; 3.833,41 
33;2021-150630;9/17/2021;20210917;CE;Nordeste;73. Bistrô das Colinas;Café & Bistrô;1051;Q-P2;Quiche P2; 4,79 ; 3,21 ;7%;400; 1.916,70 
34;2021-150630;9/17/2021;20210917;CE;Nordeste;73. Bistrô das Colinas;Café & Bistrô;1051;P-P;Panetone P; 8,03 ; 5,38 ;2%;500; 2.395,88 
35;2023-107727;10/20/2023;20231020;PE;Nordeste;90. Café do Mel;Eventos;1083;Q-M;Quiche M; 11,68 ; 7,82 ;2%;300; 2.422,27 
36;2022-117590;12/09/2022;20221209;PE;Nordeste;76. Café do Luar;Café & Bistrô;1077;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;400; 1.916,70 
37;2022-117590;12/09/2022;20221209;PE;Nordeste;76. Café do Luar;Café & Bistrô;1077;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;6%;700; 3.354,23 
38;2021-117415;12/27/2021;20211227;PE;Nordeste;35. Café do Livro;Café & Bistrô;1101;G-G1;Galupe G1; 12,26 ; 8,22 ;2%;900; 20.763,99 
39;2021-117415;12/27/2021;20211227;PE;Nordeste;35. Café do Livro;Café & Bistrô;1101;Q-G1;Quiche G1; 23,07 ; 15,46 ;3%;400; 1.916,70 
40;2021-117415;12/27/2021;20211227;PE;Nordeste;35. Café do Livro;Café & Bistrô;1101;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;3%;200; 958,35 
41;2021-117415;12/27/2021;20211227;PE;Nordeste;35. Café do Livro;Café & Bistrô;1101;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;700; 3.635,28 
42;2023-120999;09/11/2023;20230911;MS;Centro-Oeste;70. Café do Céu;Café & Bistrô;1058;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;600; 13.842,66 
43;2022-101343;7/18/2022;20220718;BA;Nordeste;14. Sabores do Mundo;Restaurante;1043;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;400; 4.673,52 
44;2023-139619;9/20/2023;20230920;CE;Nordeste;78. Café do Silêncio;Café & Bistrô;1015;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;900; 4.673,93 
45;2022-118255;03/12/2022;20220312;CE;Nordeste;23. Cantina da Nonna;Restaurante;1028;M-P;Mel P; 4,02 ; 2,70 ;0%;600; 13.842,66 
46;2022-118255;03/12/2022;20220312;CE;Nordeste;23. Cantina da Nonna;Restaurante;1028;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;500; 2.596,63 
47;2020-146703;10/20/2020;20201020;GO;Centro-Oeste;15. Cozinha da Vovó;Restaurante;1068;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;400; 1.916,70 
48;2022-169194;6/21/2022;20220621;MG;Sudeste;1. Delícias da Terra;Indústria;1011;M-P;Mel P; 4,02 ; 2,70 ;0%;700; 16.149,77 
49;2022-169194;6/21/2022;20220621;MG;Sudeste;1. Delícias da Terra;Indústria;1011;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;900; 9.915,42 
50;2021-115742;4/18/2021;20210418;RJ;Sudeste;14. Sabores do Mundo;Restaurante;1043;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;300; 1.437,53 
51;2021-115742;4/18/2021;20210418;RJ;Sudeste;14. Sabores do Mundo;Restaurante;1043;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;200; 958,35 
52;2021-115742;4/18/2021;20210418;RJ;Sudeste;14. Sabores do Mundo;Restaurante;1043;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;300; 1.437,53 
53;2021-115742;4/18/2021;20210418;RJ;Sudeste;14. Sabores do Mundo;Restaurante;1043;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;300; 1.437,53 
54;2022-105816;12/12/2022;20221212;PA;Nordeste;98. Café do Sol Poente;Eventos;1059;P-M-Premium;Panetone M Premium; 23,22 ; 15,56 ;0%;300; 3.505,14 
55;2022-105816;12/12/2022;20221212;PA;Nordeste;98. Café do Sol Poente;Eventos;1059;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;400; 9.228,44 
